dataset,outlier_id,original_rank,new_rank,rank_improvement,relative_improvement_percent,total_documents,new_percentile
hall,https://openalex.org/W4243127898,3692,54,3638,98.5373781148429,8396,99.35683658885183
appenzeller,https://openalex.org/W2415851885,2240,187,2053,91.65178571428572,2433,92.31401561857788
jeyaraman,https://openalex.org/W2408000122,399,41,358,89.72431077694235,691,94.06657018813314
