Dataset,Documents,Relevance ratio,Network density,Baseline rank,Baseline percentile,MENCOD top 1%,MENCOD top 5%,MENCOD top 10%,Max improvement,Achieved improvement,Improvement efficiency,LOF network best,LOF mixed best,Isolation forest best,Performance grade
Jeyaraman,691,13.9%,0.9088,399,42.3%,≤6,≤34,≤69,398,≥393,98.7%,≤6,≤6,≤6,A+
Appenzeller,"2,433",1.1%,0.6823,2240,7.9%,≤24,≤121,≤243,2239,≥2216,99.0%,≤24,≤24,≤24,A+
Hall,"8,396",1.2%,0.4359,3692,56.0%,≤83,≤419,≤839,3691,≥3609,97.8%,≤83,≤83,≤83,A+
