feature,jeyaraman_importance,appenzeller_importance,hall_importance
Title Length,0.0,8.033744307268714,6.777958865888774
Mean Neighb. Degree,8.225681715050174,0.0,0.0
Std Neighb. Degree,0.0,14.283682061592856,0.0
Degree,15.121524565386931,0.0,5.338331798558474
Max Semantic Simi...,0.0,10.413221780284882,15.716524946381996
Pagerank,16.468547719791186,0.0,0.0
Max Neighb. Degree,5.877403918847047,20.59006340258423,7.606858147706959
Closeness,27.835151819286132,11.409796554176406,0.0
Clustering,0.0,0.0,36.290165270540484
