Dataset,Total_Documents,Known_Outliers,Best_Ensemble_Percentile,Overall_Best_Percentile,LOF_Network_Best_Percentile,LOF_Mixed_Best_Percentile,IsolationForest_Best_Percentile
Jeyaraman,883,1,N/A,N/A,N/A,N/A,N/A
Appenzeller,2680,1,N/A,N/A,N/A,N/A,N/A
Hall,4089,1,N/A,N/A,N/A,N/A,N/A
