dataset,outlier_id,original_rank,new_rank,rank_improvement,relative_improvement_percent,total_documents,new_percentile
hall,https://openalex.org/W4243127898,5102,23,5079,99.54919639357115,4089,99.43751528491075
appenzeller,https://openalex.org/W2415851885,2036,202,1834,90.07858546168958,2680,92.46268656716417
jeyaraman,https://openalex.org/W2408000122,279,35,244,87.45519713261649,883,96.03624009060022
