dataset,total_documents,relevant_documents,irrelevant_documents,relevance_ratio,mean_degree,mean_pagerank,mean_clustering,network_density,ensemble_scores_mean,ensemble_scores_std,lof_embeddings_scores_mean,lof_embeddings_scores_std,lof_network_scores_mean,lof_network_scores_std
jeyaraman,883,96,787,0.1087202718006795,12.823329558323897,0.0009279022350430359,0.15444634286389206,0.9320498301245753,0.1264341059848635,0.1076696600875528,0.0,0.0,1.1945863499051401,0.3553406122235349
appenzeller,2680,26,2654,0.009701492537313432,8.115298507462686,0.00035104321595389305,0.13009465597295583,0.6932835820895522,0.2092694168260013,0.10105140751951538,1.4190263681224922,0.27139781750991376,1.1680154495880082,0.320309964722615
hall,4089,104,3985,0.025434091464905845,1.3861579848373686,0.0001136895676789838,0.07245317136186273,0.44387380777696256,0.40290379556919564,0.1004183316032195,0.9557366552927815,0.31911099829797773,1.1929715319096885,0.39591444683020904
