Dataset,Documents,Relevance ratio,Network density,Baseline rank,Baseline percentile,MENCOD top 1%,MENCOD top 5%,MENCOD top 10%,Max improvement,Achieved improvement,Improvement efficiency,LOF network best,LOF mixed best,Isolation forest best,Performance grade
Jeyaraman,883,10.9%,0.9320,279,68.4%,≤8,≤44,≤88,278,≥271,97.5%,≤8,≤8,≤8,A+
Appenzeller,"2,680",1.0%,0.6933,2036,24.0%,≤26,≤134,≤268,2035,≥2010,98.8%,≤26,≤26,≤26,A+
Hall,"4,089",2.5%,0.4439,5102,-24.8%,≤40,≤204,≤408,5101,≥5062,99.2%,≤40,≤40,≤40,A+
