Dataset,Total_Documents,Relevant_Documents,Known_Outliers,Best_Ensemble_Rank,Best_Ensemble_Percentile,Avg_Ensemble_Percentile,LOF_Network_Best_Rank,LOF_Network_Best_Percentile,LOF_Mixed_Best_Rank,LOF_Mixed_Best_Percentile,IsolationForest_Best_Rank,IsolationForest_Best_Percentile,Overall_Best_Percentile,Overall_Avg_Percentile,Relevance_Ratio,Network_Density,Mean_Degree
Jeyaraman,883,96,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.109,0.9320,12.8
Appenzeller,2680,26,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.010,0.6933,8.1
Hall,4089,104,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.025,0.4439,1.4
